username,channelId
,UCPf--NB2_9j2o8igU0legEQ
,UCFGVUIO2y39PRiWsMoZt6eA
,UCLOPybJMpCyCyocN4lm9ogw
,UCS7RD_-_IIgvifQrsDC4MTw
,UCKFP3jABqF5ZXzuEDc5YUow
,UCJ3Pe03zSYNs0rV_Nf7vJsw
,UCoExZeTwkz3duERQn9p9ong
,UCTW786myGLIDvUwZ6nzamRg
,UCGDEmnacZSIfQjMqb-6O9Fg
,UChY1YaqUH5WfwPxdHuY4VJg
,UChTHE3Gv_zjizOqKg7z49sA
,UCU9Q7_nCcMnJJ-5Lb7nKppw
,UCUzRJIj7uybnqdPeYUx126Q
,UCw0H4E-SFFPOEAeq2nIb8pQ
,UCR1bvem4nHH6TBM-PZMCbBw
,UC1Z-wDVz08AWd9qpy7PcVcw
,UCAg0z2wt5CwYzB_h75A_WDg
,UCa-aG1AVp-ZuCSddXO8vqiA
,UCfKMzHHcQSSx_4C_WS1aGFQ
,UCixNCBzhKwoZsb92b3HjMdw
,UCYca2-IcPQXwSu3vVVWHkGg
,UC8jojIAexJ6P0ya0ALLkTWw
,UCqkHiO1Mwr5Q5daEH6l2Cjg
,UC4iPTTMedEPCaN6NDz3fXEg
,UC9hekKse0-kM3pQrG0R5tRA
,UCgkxrKDTT34jEaklOTEV-7w
,UCCmFwdBBxoCiNZDmq0a9eLw
,UCfHB61s1kODl1ZQ4nB32f6g
,UCsPvUtOk2iqeNkb81V1EqHw
,UCMl4ymN6BuIEv0rj_T92axg
,UCqP1WrU2iJ7kpd6Y3RJkBrA
,UCcjp4JeOyKcCq8hoqiu-zNQ
,UCFRmp3eHHlEjSFHDdjonciw
,UCvIqKv-Y1NNZUtehINUH06A
,UC-IuXtmU5gzO-W1X4wbIIhA
,UCRDJj-pHx5PeophO_nOD7dg
,UCMVWDOk92sK_7nEneV-zU8Q
,UCp4MLqsPTKcH3XVFBD7UlaQ
,UCAM_am2aesbaGu664Sx9o8w
,UCMbNvvYQCYPbZRytJ1qVOCQ
,UCX7p5XkUVnhge2vnW2sjk7g
,UCbY9FNYmRJvoMqiNEAziRcQ
,UCt602VX4mIC6mDorgqpQ9Yg
,UC_wBN1D3VUnsalfwC7zJaFw
,UCjSyCZXDEvGqY7_xTbcAA7w
,UCEHjhc22MinMSUO4XXv4DQw
,UC_k8EUNZLXSLfevL6_i2BWA
,UC5CG_74D9U5dlr7PkrXYg0g
,UCQ2LlfgNP2JgQ4YRp_DPSJg
,UCQ2LlfgNP2JgQ4YRp_DPSJg
,UCAuUUnT6oDeKwE6v1NGQxug
,UCihGKWWErzvo-iC3gcJD00A
,UCsMzMM6gDS8ZiDIPmatGngg
,UCDCbhRdB4X6IKZwztRzXvxQ
